day,month,year,name,bio,url
30,3,1919,Robin Williams,"New Zealand mathematician, university administrator and public servant (d. 2013)",https://en.wikipedia.org/wiki/Robin_Williams_(mathematician)
31,3,1596,René Descartes,French mathematician and philosopher (d. 1650),https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes
31,3,1730,Étienne Bézout,French mathematician and theorist (d. 1783),https://en.wikipedia.org/wiki/%C3%89tienne_B%C3%A9zout
31,3,1847,Yegor Ivanovich Zolotarev,Russian mathematician and theorist (d. 1878),https://en.wikipedia.org/wiki/Yegor_Ivanovich_Zolotarev
31,3,1947,Augustin Banyaga,Rwandan-American mathematician and academic,https://en.wikipedia.org/wiki/Augustin_Banyaga
1,4,1640,Georg Mohr,Danish mathematician and academic (d. 1697),https://en.wikipedia.org/wiki/Georg_Mohr
1,4,1776,Sophie Germain,"French mathematician, physicist, and philosopher (d. 1831)",https://en.wikipedia.org/wiki/Sophie_Germain
1,4,1874,Ernest Barnes,English mathematician and theologian (d. 1953),https://en.wikipedia.org/wiki/Ernest_Barnes
1,4,1898,William James Sidis,"Ukrainian-Russian Jewish American mathematician, anthropologist, and historian (d. 1944)",https://en.wikipedia.org/wiki/William_James_Sidis
1,4,1916,Sheila May Edmonds,British mathematician (d. 2002),https://en.wikipedia.org/wiki/Sheila_May_Edmonds
1,4,1947,Alain Connes,French mathematician and academic,https://en.wikipedia.org/wiki/Alain_Connes
2,4,1618,Francesco Maria Grimaldi,Italian mathematician and physicist (d. 1663),https://en.wikipedia.org/wiki/Francesco_Maria_Grimaldi
2,4,1898,Chiungtze C. Tsen,Chinese mathematician (d. 1940),https://en.wikipedia.org/wiki/Chiungtze_C._Tsen
2,4,1923,G. Spencer-Brown,"English mathematician, psychologist, and author (d. 2016)",https://en.wikipedia.org/wiki/G._Spencer-Brown
2,4,1934,Paul Cohen,American mathematician and theorist (d. 2007),https://en.wikipedia.org/wiki/Paul_Cohen
3,4,1529,Michael Neander,German mathematician and astronomer (d. 1581),https://en.wikipedia.org/wiki/Michael_Neander
3,4,1909,Stanislaw Ulam,Polish-American mathematician and academic (d. 1984),https://en.wikipedia.org/wiki/Stanislaw_Ulam
4,4,1842,Édouard Lucas,French mathematician and theorist (d. 1891),https://en.wikipedia.org/wiki/%C3%89douard_Lucas
4,4,1868,Philippa Fawcett,English mathematician and educator (d. 1948),https://en.wikipedia.org/wiki/Philippa_Fawcett
4,4,1949,Shing-Tung Yau,Chinese-American mathematician and academic,https://en.wikipedia.org/wiki/Shing-Tung_Yau
5,4,1622,Vincenzo Viviani,"Italian mathematician, astronomer, and physicist (d. 1703)",https://en.wikipedia.org/wiki/Vincenzo_Viviani
5,4,1869,Sergey Chaplygin,"Russian physicist, mathematician, and engineer (d. 1942)",https://en.wikipedia.org/wiki/Sergey_Chaplygin
5,4,1937,Andrzej Schinzel,Polish mathematician (d. 2021),https://en.wikipedia.org/wiki/Andrzej_Schinzel
6,4,1947,Mike Worboys,English mathematician and computer scientist,https://en.wikipedia.org/wiki/Mike_Worboys
7,4,1811,Hasan Tahsini,"Albanian astronomer, mathematician, and philosopher (d. 1881)",https://en.wikipedia.org/wiki/Hasan_Tahsini
7,4,1921,Feza Gürsey,Turkish mathematician and physicist (d. 1992),https://en.wikipedia.org/wiki/Feza_G%C3%BCrsey
7,4,1955,Tim Cochran,American mathematician and academic (d. 2014),https://en.wikipedia.org/wiki/Tim_Cochran
8,4,1732,David Rittenhouse,American astronomer and mathematician (d. 1796),https://en.wikipedia.org/wiki/David_Rittenhouse
8,4,1859,Edmund Husserl,German Jewish-Austrian mathematician and philosopher (d. 1938),https://en.wikipedia.org/wiki/Edmund_Husserl
8,4,1917,Winifred Asprey,American mathematician and computer scientist (d. 2007),https://en.wikipedia.org/wiki/Winifred_Asprey
8,4,1938,Mary W. Gray,"American mathematician, statistician, and lawyer",https://en.wikipedia.org/wiki/Mary_W._Gray
9,4,1865,Charles Proteus Steinmetz,Polish-American mathematician and engineer (d. 1923),https://en.wikipedia.org/wiki/Charles_Proteus_Steinmetz
9,4,1921,Mary Jackson,African-American mathematician and aerospace engineer (d. 2005),https://en.wikipedia.org/wiki/Mary_Jackson_(engineer)
9,4,1928,Tom Lehrer,"American singer-songwriter, pianist, and mathematician",https://en.wikipedia.org/wiki/Tom_Lehrer
10,4,1651,Ehrenfried Walther von Tschirnhaus,"German mathematician, physicist, and physician (d. 1708)",https://en.wikipedia.org/wiki/Ehrenfried_Walther_von_Tschirnhaus
11,4,1914,Dorothy Lewis Bernstein,American mathematician (d. 1988),https://en.wikipedia.org/wiki/Dorothy_Lewis_Bernstein
11,4,1953,Andrew Wiles,English mathematician and academic,https://en.wikipedia.org/wiki/Andrew_Wiles
12,4,1794,Germinal Pierre Dandelin,Belgian mathematician and engineer (d. 1847),https://en.wikipedia.org/wiki/Germinal_Pierre_Dandelin
12,4,1852,Ferdinand von Lindemann,German mathematician and academic (d. 1939),https://en.wikipedia.org/wiki/Ferdinand_von_Lindemann
13,4,1949,Len Cook,New Zealand-English mathematician and statistician,https://en.wikipedia.org/wiki/Len_Cook
14,4,1572,Adam Tanner,"Austrian mathematician, philosopher, and academic (d. 1632)",https://en.wikipedia.org/wiki/Adam_Tanner_(Jesuit_theologian)
14,4,1629,Christiaan Huygens,"Dutch mathematician, astronomer, and physicist (d. 1695)",https://en.wikipedia.org/wiki/Christiaan_Huygens
15,4,1552,Pietro Cataldi,Italian mathematician and astronomer (d. 1626),https://en.wikipedia.org/wiki/Pietro_Cataldi
15,4,1707,Leonhard Euler,Swiss mathematician and physicist (d. 1783),https://en.wikipedia.org/wiki/Leonhard_Euler
15,4,1809,Hermann Grassmann,German linguist and mathematician (d. 1877),https://en.wikipedia.org/wiki/Hermann_Grassmann
16,4,1495,Petrus Apianus,German mathematician and astronomer (d. 1557),https://en.wikipedia.org/wiki/Petrus_Apianus
16,4,1682,John Hadley,"English mathematician, invented the octant (d. 1744)",https://en.wikipedia.org/wiki/John_Hadley
16,4,1823,Gotthold Eisenstein,German mathematician and academic (d. 1852),https://en.wikipedia.org/wiki/Gotthold_Eisenstein
17,4,1798,Étienne Bobillier,French mathematician and academic (d. 1840),https://en.wikipedia.org/wiki/%C3%89tienne_Bobillier
17,4,1863,Augustus Edward Hough Love,English mathematician and theorist (d. 1940),https://en.wikipedia.org/wiki/Augustus_Edward_Hough_Love
19,4,1883,Richard von Mises,Austrian-American mathematician and physicist (d. 1953),https://en.wikipedia.org/wiki/Richard_von_Mises
21,4,1642,Simon de la Loubère,"French mathematician, poet, and diplomat (d. 1729)",https://en.wikipedia.org/wiki/Simon_de_la_Loub%C3%A8re
21,4,1652,Michel Rolle,French mathematician and academic (d. 1719),https://en.wikipedia.org/wiki/Michel_Rolle
21,4,1774,Jean-Baptiste Biot,"French physicist, astronomer, and mathematician (d. 1862)",https://en.wikipedia.org/wiki/Jean-Baptiste_Biot
21,4,1951,Michael Freedman,American mathematician and academic,https://en.wikipedia.org/wiki/Michael_Freedman
22,4,1592,Wilhelm Schickard,German astronomer and mathematician (d. 1635),https://en.wikipedia.org/wiki/Wilhelm_Schickard
22,4,1887,Harald Bohr,Danish mathematician and footballer (d. 1951),https://en.wikipedia.org/wiki/Harald_Bohr
22,4,1891,Harold Jeffreys,"English mathematician, geophysicist, and astronomer (d. 1989)",https://en.wikipedia.org/wiki/Harold_Jeffreys
22,4,1910,Norman Steenrod,American mathematician and academic (d. 1971),https://en.wikipedia.org/wiki/Norman_Steenrod
22,4,1916,Hanfried Lenz,German mathematician and academic (d. 2013),https://en.wikipedia.org/wiki/Hanfried_Lenz
22,4,1929,Michael Atiyah,English-Lebanese mathematician and academic (d. 2019),https://en.wikipedia.org/wiki/Michael_Atiyah
22,4,1935,Bhama Srinivasan,Indian-American mathematician and academic,https://en.wikipedia.org/wiki/Bhama_Srinivasan
22,4,1943,Scott W. Williams,American mathematician and professor,https://en.wikipedia.org/wiki/Scott_W._Williams
23,4,1628,Johannes Hudde,Dutch mathematician and politician (d. 1704),https://en.wikipedia.org/wiki/Johannes_Hudde
23,4,1910,Sheila Scott Macintyre,Scottish mathematician (d. 1960),https://en.wikipedia.org/wiki/Sheila_Scott_Macintyre
23,4,1933,Annie Easley,"American computer scientist, mathematician, and engineer (d. 2011)",https://en.wikipedia.org/wiki/Annie_Easley
24,4,1899,Oscar Zariski,Russian-American mathematician and academic (d. 1986),https://en.wikipedia.org/wiki/Oscar_Zariski
24,4,1919,David Blackwell,American mathematician and academic (d. 2010),https://en.wikipedia.org/wiki/David_Blackwell
25,4,1849,Felix Klein,German mathematician and academic (d. 1925),https://en.wikipedia.org/wiki/Felix_Klein
25,4,1903,Andrey Kolmogorov,Russian mathematician and academic (d. 1987),https://en.wikipedia.org/wiki/Andrey_Kolmogorov
25,4,1931,Felix Berezin,Russian mathematician and physicist (d. 1980),https://en.wikipedia.org/wiki/Felix_Berezin
26,4,1925,Vladimir Boltyansky,"Russian mathematician, educator and author (d. 2019)",https://en.wikipedia.org/wiki/Vladimir_Boltyansky
27,4,1755,Marc-Antoine Parseval,French mathematician and theorist (d. 1836),https://en.wikipedia.org/wiki/Marc-Antoine_Parseval
27,4,1913,Irving Adler,"American mathematician, author, and academic (d. 2012)",https://en.wikipedia.org/wiki/Irving_Adler
27,4,1920,Mark Krasnosel'skii,Ukrainian mathematician and academic (d. 1997),https://en.wikipedia.org/wiki/Mark_Krasnosel%27skii
27,4,1932,Gian-Carlo Rota,Italian-American mathematician and philosopher (d. 1999),https://en.wikipedia.org/wiki/Gian-Carlo_Rota
28,4,1765,Sylvestre François Lacroix,French mathematician and academic (d. 1834),https://en.wikipedia.org/wiki/Sylvestre_Fran%C3%A7ois_Lacroix
28,4,1854,Hertha Marks Ayrton,"Polish-British engineer, mathematician, and physicist. (d. 1923)",https://en.wikipedia.org/wiki/Hertha_Marks_Ayrton
28,4,1868,Georgy Voronoy,Ukrainian-Russian mathematician and academic (d. 1908),https://en.wikipedia.org/wiki/Georgy_Voronoy
28,4,1906,Kurt Gödel,"Czech-American mathematician, philosopher, and academic (d. 1978)",https://en.wikipedia.org/wiki/Kurt_G%C3%B6del
29,4,1854,Henri Poincaré,"French mathematician, physicist and engineer (d. 1912)",https://en.wikipedia.org/wiki/Henri_Poincar%C3%A9
30,4,1777,Carl Friedrich Gauss,German mathematician and physicist (d. 1855),https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
30,4,1905,Sergey Nikolsky,Russian mathematician and academic (d. 2012),https://en.wikipedia.org/wiki/Sergey_Nikolsky
30,4,1916,Claude Shannon,American mathematician and engineer (d. 2001),https://en.wikipedia.org/wiki/Claude_Shannon
1,5,1527,Johannes Stadius,"German astronomer, astrologer, mathematician (d. 1579)",https://en.wikipedia.org/wiki/Johannes_Stadius
1,5,1825,Johann Jakob Balmer,Swiss mathematician and physicist (d. 1898),https://en.wikipedia.org/wiki/Johann_Jakob_Balmer
1,5,1908,Morris Kline,American mathematician and academic (d. 1992),https://en.wikipedia.org/wiki/Morris_Kline
1,5,1924,Evelyn Boyd Granville,"American mathematician, computer scientist, and academic (d. 2023)",https://en.wikipedia.org/wiki/Evelyn_Boyd_Granville
1,5,1926,Peter Lax,Hungarian-American mathematician and academic,https://en.wikipedia.org/wiki/Peter_Lax
2,5,1901,Edouard Zeckendorf,"Belgian doctor, army officer and mathematician (d. 1983)",https://en.wikipedia.org/wiki/Edouard_Zeckendorf
3,5,1860,Vito Volterra,Italian mathematician and physicist (d. 1940),https://en.wikipedia.org/wiki/Vito_Volterra
3,5,1905,Werner Fenchel,German-Danish mathematician and academic (d. 1988),https://en.wikipedia.org/wiki/Werner_Fenchel
3,5,1928,Jacques-Louis Lions,French mathematician (d. 2001),https://en.wikipedia.org/wiki/Jacques-Louis_Lions
3,5,1977,Maryam Mirzakhani,Iranian mathematician (d. 2017),https://en.wikipedia.org/wiki/Maryam_Mirzakhani
4,5,1733,Jean-Charles de Borda,"French mathematician, physicist, and sailor (d. 1799)",https://en.wikipedia.org/wiki/Jean-Charles_de_Borda
5,5,1883,Anna Johnson Pell Wheeler,American mathematician (d. 1966),https://en.wikipedia.org/wiki/Anna_Johnson_Pell_Wheeler
5,5,1923,Cathleen Synge Morawetz,Canadian mathematician (d. 2017),https://en.wikipedia.org/wiki/Cathleen_Synge_Morawetz
6,5,1769,Jean Nicolas Pierre Hachette,French mathematician and academic (d. 1834),https://en.wikipedia.org/wiki/Jean_Nicolas_Pierre_Hachette
6,5,1872,Willem de Sitter,"Dutch mathematician, physicist, and astronomer (d. 1934)",https://en.wikipedia.org/wiki/Willem_de_Sitter
6,5,1895,Júlio César de Mello e Souza,Brazilian mathematician and author (d. 1974),https://en.wikipedia.org/wiki/J%C3%BAlio_C%C3%A9sar_de_Mello_e_Souza
6,5,1906,André Weil,French mathematician and academic (d. 1998),https://en.wikipedia.org/wiki/Andr%C3%A9_Weil
8,5,1859,Johan Jensen,Danish mathematician and engineer (d. 1925),https://en.wikipedia.org/wiki/Johan_Jensen_(mathematician)
8,5,1977,Kathrin Bringmann,German mathematician and academic,https://en.wikipedia.org/wiki/Kathrin_Bringmann
9,5,1746,Gaspard Monge,French mathematician and engineer (d. 1818),https://en.wikipedia.org/wiki/Gaspard_Monge
9,5,1912,Géza Ottlik,Hungarian mathematician and theorist (d. 1990),https://en.wikipedia.org/wiki/G%C3%A9za_Ottlik
9,5,1948,Hans Georg Bock,"German mathematician, computer scientist, and academic",https://en.wikipedia.org/wiki/Hans_Georg_Bock
10,5,1847,Wilhelm Killing,German mathematician and academic (d. 1923),https://en.wikipedia.org/wiki/Wilhelm_Killing
11,5,1881,Theodore von Kármán,"Hungarian-American mathematician, physicist, and engineer (d. 1963)",https://en.wikipedia.org/wiki/Theodore_von_K%C3%A1rm%C3%A1n
11,5,1902,Edna Ernestine Kramer,American mathematician (d. 1984),https://en.wikipedia.org/wiki/Edna_Kramer
12,5,1924,Alexander Esenin-Volpin,Russian-American mathematician and poet (d. 2016),https://en.wikipedia.org/wiki/Alexander_Esenin-Volpin
12,5,1967,Mireille Bousquet-Mélou,French mathematician,https://en.wikipedia.org/wiki/Mireille_Bousquet-M%C3%A9lou
12,5,1977,Maryam Mirzakhani,Iranian mathematician (d. 2017) ,https://en.wikipedia.org/wiki/Maryam_Mirzakhani
13,5,1713,Alexis Clairaut,"French mathematician, astronomer, and geophysicist (d. 1765)",https://en.wikipedia.org/wiki/Alexis_Clairaut
13,5,1753,Lazare Carnot,"French general, mathematician, and politician, French Minister of the Interior (d. 1823)",https://en.wikipedia.org/wiki/Lazare_Carnot
13,5,1857,Ronald Ross,"Indian-English physician and mathematician, Nobel Prize laureate (d. 1932)",https://en.wikipedia.org/wiki/Ronald_Ross
13,5,1914,Antonia Ferrín Moreiras,"Spanish mathematician, academic, and astronomer (d. 2009)",https://en.wikipedia.org/wiki/Antonia_Ferr%C3%ADn_Moreiras
14,5,1679,Peder Horrebow,Danish astronomer and mathematician (d. 1764),https://en.wikipedia.org/wiki/Peder_Horrebow
14,5,1701,William Emerson,English mathematician and academic (d. 1782),https://en.wikipedia.org/wiki/William_Emerson_(mathematician)
14,5,1832,Rudolf Lipschitz,German mathematician and academic (d. 1903),https://en.wikipedia.org/wiki/Rudolf_Lipschitz
14,5,1863,John Charles Fields,"Canadian mathematician, founder of the Fields Medal (d. 1932)",https://en.wikipedia.org/wiki/John_Charles_Fields
14,5,1888,Archie Alexander,American mathematician and engineer (d. 1958),https://en.wikipedia.org/wiki/Archie_Alexander
14,5,1914,William Tutte,British codebreaker and mathematician (d. 2002) ,https://en.wikipedia.org/wiki/William_Tutte
15,5,1900,Ida Rhodes,"American mathematician, pioneer in computer programming (d. 1986) ",https://en.wikipedia.org/wiki/Ida_Rhodes
15,5,1903,Maria Reiche,German mathematician and archaeologist (d. 1998),https://en.wikipedia.org/wiki/Maria_Reiche
15,5,1951,Frank Wilczek,"American mathematician and physicist, Nobel Prize laureate",https://en.wikipedia.org/wiki/Frank_Wilczek
16,5,1718,Maria Gaetana Agnesi,Italian mathematician and philosopher (d. 1799),https://en.wikipedia.org/wiki/Maria_Gaetana_Agnesi
16,5,1821,Pafnuty Chebyshev,Russian mathematician and statistician (d. 1894),https://en.wikipedia.org/wiki/Pafnuty_Chebyshev
17,5,1818,Ezra Otis Kendall,"American professor, astronomer and mathematician (d. 1899)",https://en.wikipedia.org/wiki/Ezra_Otis_Kendall
17,5,1860,Charlotte Barnum,American mathematician and social activist (d. 1934),https://en.wikipedia.org/wiki/Charlotte_Barnum
18,5,1048,Omar Khayyám,"Persian mathematician, astronomer, and poet (d. 1131)",https://en.wikipedia.org/wiki/Omar_Khayy%C3%A1m
18,5,1711,Roger Joseph Boscovich,"Ragusan physicist, astronomer, and mathematician (d. 1787)",https://en.wikipedia.org/wiki/Roger_Joseph_Boscovich
18,5,1850,Oliver Heaviside,"English engineer, mathematician, and physicist (d. 1925)",https://en.wikipedia.org/wiki/Oliver_Heaviside
18,5,1872,Bertrand Russell,"British mathematician, historian, and philosopher, Nobel Prize laureate (d. 1970)",https://en.wikipedia.org/wiki/Bertrand_Russell
19,5,1927,Serge Lang,"French-American mathematician, author and academic (d. 2005)",https://en.wikipedia.org/wiki/Serge_Lang
20,5,1901,Max Euwe,"Dutch chess player, mathematician, and author (d. 1981)",https://en.wikipedia.org/wiki/Max_Euwe
20,5,1921,Hao Wang,"Chinese-American logician, philosopher, and mathematician (d. 1995)",https://en.wikipedia.org/wiki/Hao_Wang_(academic)
21,5,1471,Albrecht Dürer,"German painter, engraver, and mathematician (d. 1528)",https://en.wikipedia.org/wiki/Albrecht_D%C3%BCrer
21,5,1792,Gaspard-Gustave de Coriolis,French mathematician and engineer (d. 1843),https://en.wikipedia.org/wiki/Gaspard-Gustave_de_Coriolis
21,5,1858,Édouard Goursat,French mathematician (d. 1936),https://en.wikipedia.org/wiki/%C3%89douard_Goursat
21,5,1923,Armand Borel,Swiss-American mathematician and academic (d. 2003),https://en.wikipedia.org/wiki/Armand_Borel
22,5,1933,Chen Jingrun,Chinese mathematician and academic (d. 1996),https://en.wikipedia.org/wiki/Chen_Jingrun
22,5,1942,Ted Kaczynski,American academic and mathematician turned anarchist and serial murderer (Unabomber) (d. 2023),https://en.wikipedia.org/wiki/Ted_Kaczynski
23,5,1606,Juan Caramuel y Lobkowitz,Spanish mathematician and philosopher (d. 1682),https://en.wikipedia.org/wiki/Juan_Caramuel_y_Lobkowitz
23,5,1887,Thoralf Skolem,Norwegian mathematician and theorist (d. 1963),https://en.wikipedia.org/wiki/Thoralf_Skolem
23,5,1917,Edward Norton Lorenz,American mathematician and meteorologist (d. 2008),https://en.wikipedia.org/wiki/Edward_Norton_Lorenz
23,5,1940,Cora Sadosky,Argentinian mathematician and academic (d. 2010),https://en.wikipedia.org/wiki/Cora_Sadosky
23,5,1963,Viviane Baladi,Swiss mathematician,https://en.wikipedia.org/wiki/Viviane_Baladi
25,5,1944,Robert MacPherson,American mathematician and academic,https://en.wikipedia.org/wiki/Robert_MacPherson_(mathematician)
26,5,1667,Abraham de Moivre,French-English mathematician and theorist (d. 1754),https://en.wikipedia.org/wiki/Abraham_de_Moivre
26,5,1951,Lou van den Dries,Dutch mathematician,https://en.wikipedia.org/wiki/Lou_van_den_Dries
28,5,1676,Jacopo Riccati,Italian mathematician and academic (d. 1754),https://en.wikipedia.org/wiki/Jacopo_Riccati
28,5,1879,Milutin Milanković,"Serbian mathematician, astronomer, and geophysicist (d. 1958)",https://en.wikipedia.org/wiki/Milutin_Milankovi%C4%87
29,5,1675,Humphry Ditton,English mathematician and philosopher (d. 1715),https://en.wikipedia.org/wiki/Humphry_Ditton
30,5,1423,Georg von Peuerbach,German mathematician and astronomer (d. 1461),https://en.wikipedia.org/wiki/Georg_von_Peuerbach
30,5,1814,Eugène Charles Catalan,Belgian-French mathematician and academic (d. 1894),https://en.wikipedia.org/wiki/Eug%C3%A8ne_Charles_Catalan
30,5,1869,Grace Andrews,American mathematician (d. 1951),https://en.wikipedia.org/wiki/Grace_Andrews_(mathematician)
30,5,1927,Joan Birman,American mathematician,https://en.wikipedia.org/wiki/Joan_Birman
2,6,1923,Lloyd Shapley,"American mathematician and economist, Nobel Prize laureate (d. 2016)",https://en.wikipedia.org/wiki/Lloyd_Shapley
3,6,1659,David Gregory,Scottish-English mathematician and astronomer (d. 1708),https://en.wikipedia.org/wiki/David_Gregory_(mathematician)
3,6,1906,R. G. D. Allen,"English economist, mathematician, and statistician (d. 1983)",https://en.wikipedia.org/wiki/R._G._D._Allen
3,6,1923,Igor Shafarevich,Russian mathematician and theorist (d. 2017),https://en.wikipedia.org/wiki/Igor_Shafarevich
3,6,1954,Susan Landau,American mathematician and engineer,https://en.wikipedia.org/wiki/Susan_Landau
4,6,1966,Svetlana Jitomirskaya,American mathematician,https://en.wikipedia.org/wiki/Svetlana_Jitomirskaya
4,6,1966,Vladimir Voevodsky,Russian mathematician and academic (d. 2017),https://en.wikipedia.org/wiki/Vladimir_Voevodsky
5,6,1646,Elena Cornaro Piscopia,Italian mathematician and philosopher (d. 1684),https://en.wikipedia.org/wiki/Elena_Cornaro_Piscopia
5,6,1819,John Couch Adams,English mathematician and astronomer (d. 1892),https://en.wikipedia.org/wiki/John_Couch_Adams
6,6,1436,Regiomontanus (Johannes Müller von Königsberg),"German mathematician, astronomer, and bishop (d. 1476)",https://en.wikipedia.org/wiki/Regiomontanus
6,6,1857,Aleksandr Lyapunov,Russian mathematician and physicist (d. 1918),https://en.wikipedia.org/wiki/Aleksandr_Lyapunov
6,6,1906,Max August Zorn,German mathematician and academic who is noted for Zorn's Lemma (d. 1993),https://en.wikipedia.org/wiki/Max_August_Zorn
8,6,1625,Giovanni Domenico Cassini,Italian-French mathematician and astronomer (d. 1712),https://en.wikipedia.org/wiki/Giovanni_Domenico_Cassini
8,6,1745,Caspar Wessel,Norwegian-Danish mathematician and cartographer (d. 1818),https://en.wikipedia.org/wiki/Caspar_Wessel
8,6,1858,Charlotte Scott,English mathematician (d. 1931),https://en.wikipedia.org/wiki/Charlotte_Scott
8,6,1860,Alicia Boole Stott,Irish-English mathematician and theorist (d. 1940),https://en.wikipedia.org/wiki/Alicia_Boole_Stott
8,6,1897,John G. Bennett,English mathematician and technologist (d. 1974),https://en.wikipedia.org/wiki/John_G._Bennett
8,6,1930,Robert Aumann,"German-American mathematician and economist, Nobel Prize laureate",https://en.wikipedia.org/wiki/Robert_Aumann
9,6,1861,Pierre Duhem,"French physicist, mathematician, and historian (d. 1916)",https://en.wikipedia.org/wiki/Pierre_Duhem
10,6,940,Abu al-Wafa' Buzjani,Persian mathematician and astronomer (d. 998),https://en.wikipedia.org/wiki/Abu_al-Wafa%27_Buzjani
10,6,1924,Friedrich L. Bauer,"German mathematician, computer scientist, and academic (d. 2015)",https://en.wikipedia.org/wiki/Friedrich_L._Bauer
10,6,1932,Pierre Cartier,French mathematician and academic,https://en.wikipedia.org/wiki/Pierre_Cartier_(mathematician)
10,6,1935,Lu Jiaxi,Chinese self-taught mathematician (d. 1983),https://en.wikipedia.org/wiki/Lu_Jiaxi_(mathematician)
10,6,1938,Vasanti N. Bhat-Nayak,Indian mathematician and academic (d. 2009),https://en.wikipedia.org/wiki/Vasanti_N._Bhat-Nayak
11,6,1909,Natascha Artin Brunswick,German-American mathematician and photographer (d. 2003),https://en.wikipedia.org/wiki/Natascha_Artin_Brunswick
11,6,1915,Nicholas Metropolis,American mathematician and physicist (d. 1999),https://en.wikipedia.org/wiki/Nicholas_Metropolis
12,6,1577,Paul Guldin,Swiss astronomer and mathematician (d. 1643),https://en.wikipedia.org/wiki/Paul_Guldin
12,6,1888,Zygmunt Janiszewski,Polish mathematician and academic (d. 1920),https://en.wikipedia.org/wiki/Zygmunt_Janiszewski
12,6,1918,Christie Jayaratnam Eliezer,Sri Lankan-Australian mathematician and academic (d. 2001),https://en.wikipedia.org/wiki/Christie_Jayaratnam_Eliezer
12,6,1937,Vladimir Arnold,Russian-French mathematician and academic (d. 2010),https://en.wikipedia.org/wiki/Vladimir_Arnold
13,6,1555,Giovanni Antonio Magini,"Italian mathematician, cartographer and astronomer (d. 1617)",https://en.wikipedia.org/wiki/Giovanni_Antonio_Magini
13,6,1580,Willebrord Snell,Dutch astronomer and mathematician (d. 1626),https://en.wikipedia.org/wiki/Willebrord_Snell
13,6,1831,James Clerk Maxwell,Scottish physicist and mathematician (d. 1879),https://en.wikipedia.org/wiki/James_Clerk_Maxwell
13,6,1884,Leon Chwistek,"Polish painter, philosopher, and mathematician (d. 1944)",https://en.wikipedia.org/wiki/Leon_Chwistek
13,6,1902,Carolyn Eisele,American mathematician and historian (d. 2000),https://en.wikipedia.org/wiki/Carolyn_Eisele
13,6,1906,Bruno de Finetti,Austrian-Italian mathematician and statistician (d. 1985),https://en.wikipedia.org/wiki/Bruno_de_Finetti
13,6,1920,Iosif Vorovich,Russian mathematician and engineer (d. 2001),https://en.wikipedia.org/wiki/Iosif_Vorovich
13,6,1928,John Forbes Nash,"Jr., American mathematician and academic, Nobel Prize laureate (d. 2015)","https://en.wikipedia.org/wiki/John_Forbes_Nash,_Jr."
13,6,1966,Grigori Perelman,Russian mathematician,https://en.wikipedia.org/wiki/Grigori_Perelman
14,6,1444,Nilakantha Somayaji,Indian astronomer and mathematician (d. 1544),https://en.wikipedia.org/wiki/Nilakantha_Somayaji
14,6,1796,Nikolai Brashman,Czech-Russian mathematician and academic (d. 1866),https://en.wikipedia.org/wiki/Nikolai_Brashman
14,6,1856,Andrey Markov,Russian mathematician and theorist (d. 1922),https://en.wikipedia.org/wiki/Andrey_Markov
14,6,1903,Alonzo Church,American mathematician and logician (d. 1995),https://en.wikipedia.org/wiki/Alonzo_Church
14,6,1917,Atle Selberg,Norwegian-American mathematician and academic (d. 2007),https://en.wikipedia.org/wiki/Atle_Selberg
15,6,1640,Bernard Lamy,French mathematician and theologian (d. 1715),https://en.wikipedia.org/wiki/Bernard_Lamy
15,6,1894,Nikolai Chebotaryov,Ukrainian-Russian mathematician and theorist (d. 1947),https://en.wikipedia.org/wiki/Nikolai_Chebotaryov
15,6,1906,Gordon Welchman,English-American mathematician and author (d. 1985),https://en.wikipedia.org/wiki/Gordon_Welchman
16,6,1591,Joseph Solomon Delmedigo,"Greek-Italian physician, mathematician, and theorist (d. 1655)",https://en.wikipedia.org/wiki/Joseph_Solomon_Delmedigo
16,6,1801,Julius Plücker,German mathematician and physicist (d. 1868),https://en.wikipedia.org/wiki/Julius_Pl%C3%BCcker
16,6,1888,Alexander Friedmann,Russian physicist and mathematician (d. 1925),https://en.wikipedia.org/wiki/Alexander_Friedmann
16,6,1888,Peter Stoner,American mathematician and astronomer (d. 1980),https://en.wikipedia.org/wiki/Peter_Stoner
16,6,1915,John Tukey,American mathematician and academic (d. 2000),https://en.wikipedia.org/wiki/John_Tukey
18,6,1858,Andrew Forsyth,Scottish-English mathematician and academic (d. 1942),https://en.wikipedia.org/wiki/Andrew_Forsyth
18,6,1870,Édouard Le Roy,French mathematician and philosopher (d. 1954),https://en.wikipedia.org/wiki/%C3%89douard_Le_Roy
18,6,1913,Oswald Teichmüller,German mathematician (d. 1943),https://en.wikipedia.org/wiki/Oswald_Teichm%C3%BCller
18,6,1915,Alice T. Schafer,American mathematician (d. 2009),https://en.wikipedia.org/wiki/Alice_T._Schafer
19,6,1623,Blaise Pascal,French mathematician and physicist (d. 1662),https://en.wikipedia.org/wiki/Blaise_Pascal
19,6,1771,Joseph Diaz Gergonne,French mathematician and philosopher (d. 1859),https://en.wikipedia.org/wiki/Joseph_Diaz_Gergonne
19,6,1854,Hjalmar Mellin,Finnish mathematician and theorist (d. 1933),https://en.wikipedia.org/wiki/Hjalmar_Mellin
