day,month,year,name,bio,url
23,1,1889,Claribel Kendall,American mathematician (d.1965),https://en.wikipedia.org/wiki/Claribel_Kendall
23,1,1946,Boris Berezovsky,Russian-English businessman and mathematician (d. 2013),https://en.wikipedia.org/wiki/Boris_Berezovsky_(businessman)
24,1,1814,John Colenso,British mathematician (d. 1883),https://en.wikipedia.org/wiki/John_Colenso
24,1,1863,August Adler,Czech and Austrian mathematician (d. 1923),https://en.wikipedia.org/wiki/August_Adler
24,1,1931,Lars Hörmander,Swedish mathematician and academic (d. 2012),https://en.wikipedia.org/wiki/Lars_H%C3%B6rmander
25,1,1736,Joseph-Louis Lagrange,Italian-French mathematician and astronomer (d. 1813),https://en.wikipedia.org/wiki/Joseph-Louis_Lagrange
26,1,1933,Donald Sarason,American mathematician (d. 2017),https://en.wikipedia.org/wiki/Donald_Sarason
26,1,1946,Susan Friedlander,American mathematician,https://en.wikipedia.org/wiki/Susan_Friedlander
27,1,1832,Lewis Carroll,"English novelist, poet, and mathematician (d. 1898)",https://en.wikipedia.org/wiki/Lewis_Carroll
28,1,1540,Ludolph van Ceulen,German-Dutch mathematician and academic (d. 1610),https://en.wikipedia.org/wiki/Ludolph_van_Ceulen
28,1,1701,Charles Marie de La Condamine,French mathematician and geographer (d. 1774),https://en.wikipedia.org/wiki/Charles_Marie_de_La_Condamine
29,1,1810,Ernst Kummer,Polish-German mathematician and academic (d. 1893),https://en.wikipedia.org/wiki/Ernst_Kummer
29,1,1846,Karol Olszewski,"Polish chemist, mathematician and physicist (d. 1915)",https://en.wikipedia.org/wiki/Karol_Olszewski
29,1,1888,Sydney Chapman,English mathematician and geophysicist (d. 1970),https://en.wikipedia.org/wiki/Sydney_Chapman_(mathematician)
29,1,1928,Joseph Kruskal,American mathematician and computer scientist (d. 2010),https://en.wikipedia.org/wiki/Joseph_Kruskal
31,1,1854,David Emmanuel,Romanian mathematician and academic (d. 1941),https://en.wikipedia.org/wiki/David_Emmanuel_(mathematician)
31,1,1896,Sofya Yanovskaya,Russian mathematician and historian (d. 1966),https://en.wikipedia.org/wiki/Sofya_Yanovskaya
1,2,1561,Henry Briggs,British mathematician (d. 1630),https://en.wikipedia.org/wiki/Henry_Briggs_(mathematician)
2,2,1522,Lodovico Ferrari,Italian mathematician and academic (d. 1565),https://en.wikipedia.org/wiki/Lodovico_Ferrari
2,2,1786,Jacques Philippe Marie Binet,"French mathematician, physicist, and astronomer (d. 1856)",https://en.wikipedia.org/wiki/Jacques_Philippe_Marie_Binet
2,2,1842,Julian Sochocki,Polish-Russian mathematician and academic (d. 1927),https://en.wikipedia.org/wiki/Julian_Sochocki
2,2,1893,Cornelius Lanczos,Hungarian mathematician and physicist (d. 1974),https://en.wikipedia.org/wiki/Cornelius_Lanczos
2,2,1896,Kazimierz Kuratowski,Polish mathematician and logician (d. 1980),https://en.wikipedia.org/wiki/Kazimierz_Kuratowski
2,2,1897,Gertrude Blanch,Russian-American mathematician (d. 1996),https://en.wikipedia.org/wiki/Gertrude_Blanch
3,2,1893,Gaston Julia,Algerian-French mathematician and academic (d. 1978),https://en.wikipedia.org/wiki/Gaston_Julia
3,2,1905,Arne Beurling,Swedish-American mathematician and academic (d. 1986),https://en.wikipedia.org/wiki/Arne_Beurling
3,2,1957,Eric Lander,"American mathematician, geneticist, and academic",https://en.wikipedia.org/wiki/Eric_Lander
4,2,1921,Lotfi Zadeh,Iranian-American mathematician and computer scientist and founder of fuzzy logic (d. 2017),https://en.wikipedia.org/wiki/Lotfi_Zadeh
4,2,1925,Christopher Zeeman,English mathematician and academic (d. 2016),https://en.wikipedia.org/wiki/Christopher_Zeeman
5,2,1608,Gaspar Schott,German mathematician and physicist (d. 1666),https://en.wikipedia.org/wiki/Gaspar_Schott
5,2,1937,Alar Toomre,Estonian-American astronomer and mathematician,https://en.wikipedia.org/wiki/Alar_Toomre
6,2,1465,Scipione del Ferro,Italian mathematician and theorist (d. 1526),https://en.wikipedia.org/wiki/Scipione_del_Ferro
6,2,1582,Mario Bettinus,"Italian mathematician, astronomer, and philosopher (d. 1657)",https://en.wikipedia.org/wiki/Mario_Bettinus
6,2,1612,Antoine Arnauld,"French mathematician, theologian, and philosopher (d. 1694)",https://en.wikipedia.org/wiki/Antoine_Arnauld
6,2,1695,Nicolaus II Bernoulli,Swiss-Russian mathematician and theorist (d. 1726),https://en.wikipedia.org/wiki/Nicolaus_II_Bernoulli
6,2,1916,John Crank,English mathematician and physicist (d. 2006),https://en.wikipedia.org/wiki/John_Crank
6,2,1940,Petr Hájek,Czech mathematician and academic (d. 2016),https://en.wikipedia.org/wiki/Petr_H%C3%A1jek
7,2,1877,G. H. Hardy,English mathematician and geneticist (d. 1947),https://en.wikipedia.org/wiki/G._H._Hardy
8,2,120,Vettius Valens,"Greek astronomer, mathematician, and astrologer (d. ~175)",https://en.wikipedia.org/wiki/Vettius_Valens
8,2,412,Proclus,Greek mathematician and philosopher (d. ~485),https://en.wikipedia.org/wiki/Proclus
8,2,1700,Daniel Bernoulli,Dutch-Swiss mathematician and physicist (d. 1782),https://en.wikipedia.org/wiki/Daniel_Bernoulli
9,2,1775,Farkas Bolyai,Hungarian mathematician and academic (d. 1856),https://en.wikipedia.org/wiki/Farkas_Bolyai
9,2,1880,Lipót Fejér,Hungarian mathematician and academic (d. 1959),https://en.wikipedia.org/wiki/Lip%C3%B3t_Fej%C3%A9r
9,2,1907,Harold Scott MacDonald Coxeter,English-Canadian mathematician and academic (d. 2003),https://en.wikipedia.org/wiki/Harold_Scott_MacDonald_Coxeter
9,2,1945,Carol Wood,American mathematician and academic,https://en.wikipedia.org/wiki/Carol_Wood
11,2,1897,Emil Leon Post,Polish-American mathematician and logician (d.1954),https://en.wikipedia.org/wiki/Emil_Leon_Post
11,2,1915,Richard Hamming,American mathematician and academic (d. 1998),https://en.wikipedia.org/wiki/Richard_Hamming
12,2,1908,Jacques Herbrand,French mathematician and philosopher (d. 1931),https://en.wikipedia.org/wiki/Jacques_Herbrand
12,2,1914,Johanna von Caemmerer,German mathematician (d. 1971),https://en.wikipedia.org/wiki/Hanna_Neumann
13,2,1523,Valentin Naboth,German astronomer and mathematician (d. 1593),https://en.wikipedia.org/wiki/Valentin_Naboth
13,2,1805,Peter Gustav Lejeune Dirichlet,German mathematician and academic (d. 1859),https://en.wikipedia.org/wiki/Peter_Gustav_Lejeune_Dirichlet
14,2,1468,Johannes Werner,German priest and mathematician (d. 1522),https://en.wikipedia.org/wiki/Johannes_Werner
14,2,1917,Herbert A. Hauptman,"American mathematician and academic, Nobel Prize laureate (d. 2011)",https://en.wikipedia.org/wiki/Herbert_A._Hauptman
14,2,1973,Annalisa Buffa,Italian mathematician,https://en.wikipedia.org/wiki/Annalisa_Buffa
14,2,1977,Anna Erschler,Russian mathematician,https://en.wikipedia.org/wiki/Anna_Erschler
15,2,1564,Galileo Galilei,"Italian astronomer, physicist, and mathematician (d. 1642)",https://en.wikipedia.org/wiki/Galileo_Galilei
15,2,1850,Sophie Bryant,"Irish mathematician, academic and activist (d. 1922)",https://en.wikipedia.org/wiki/Sophie_Bryant
15,2,1851,Spiru Haret,"Romanian mathematician, astronomer, and politician, 55th Romanian Minister of Internal Affairs (d. 1912)",https://en.wikipedia.org/wiki/Spiru_Haret
15,2,1861,Alfred North Whitehead,English mathematician and philosopher (d. 1947),https://en.wikipedia.org/wiki/Alfred_North_Whitehead
16,2,1698,Pierre Bouguer,"French mathematician, geophysicist, and astronomer (d. 1758)",https://en.wikipedia.org/wiki/Pierre_Bouguer
16,2,1937,Yuri Manin,Russian-German mathematician and academic (d. 2023),https://en.wikipedia.org/wiki/Yuri_Manin
17,2,1891,Abraham Fraenkel,German-Israeli mathematician and academic (d. 1965),https://en.wikipedia.org/wiki/Abraham_Fraenkel
17,2,1905,Rózsa Politzer,Hungarian mathematician (d. 1977),https://en.wikipedia.org/wiki/R%C3%B3zsa_P%C3%A9ter
17,2,1918,Jacqueline Ferrand,French mathematician (d. 2014),https://en.wikipedia.org/wiki/Jacqueline_Ferrand
